co2,regiao
32.1,ABC
32.1,ABC
32.03,ABC
31.9,ABC
31.96,ABC
32.03,ABC
32.1,ABC
32.03,ABC
32.03,ABC
31.76,ABC
32.38,ABC
32.52,ABC
32.59,ABC
31.96,ABC
32.17,ABC
32.03,ABC
32.17,ABC
32.17,ABC
32.1,ABC
31.9,ABC
31.76,ABC
31.96,ABC
31.83,ABC
32.03,ABC
31.76,ABC
31.35,ABC
31.96,ABC
32.1,ABC
32.03,ABC
32.17,ABC
32.94,ABC
32.45,ABC
32.52,ABC
32.38,ABC
32.38,ABC
32.03,ABC
32.45,ABC
32.8,ABC
33.15,ABC
34.16,ABC
32.03,ABC
32.1,ABC
32.24,ABC
32.38,ABC
32.45,ABC
32.38,ABC
32.1,ABC
32.1,ABC
31.96,ABC
32.03,ABC
32.1,ABC
32.1,ABC
31.96,ABC
32.38,ABC
32.73,ABC
31.76,ABC
32.24,ABC
32.17,ABC
32.03,ABC
32.31,ABC
32.59,ABC
32.17,ABC
32.52,ABC
32.59,ABC
32.45,ABC
32.87,ABC
32.94,ABC
32.87,ABC
32.8,ABC
32.94,ABC
33.94,ABC
34.45,ABC
35.72,ABC
33.01,ABC
33.22,ABC
32.17,ABC
32.24,ABC
32.17,ABC
32.38,ABC
32.17,ABC
31.9,ABC
32.24,ABC
32.45,ABC
32.24,ABC
32.38,ABC
32.17,ABC
32.38,ABC
32.59,ABC
32.87,ABC
32.52,ABC
32.31,ABC
32.24,ABC
32.38,ABC
32.17,ABC
32.45,ABC
32.31,ABC
32.24,ABC
32.24,ABC
32.59,ABC
32.31,ABC
32.38,ABC
32.31,ABC
32.52,ABC
32.45,ABC
32.45,ABC
32.59,ABC
32.03,ABC
32.1,ABC
32.17,ABC
32.31,ABC
32.03,ABC
32.38,ABC
32.38,ABC
32.45,ABC
32.1,ABC
32.38,ABC
32.38,ABC
32.17,ABC
31.62,ABC
32.17,ABC
32.31,ABC
32.31,ABC
32.45,ABC
32.31,ABC
32.24,ABC
32.1,ABC
32.31,ABC
32.66,ABC
32.59,ABC
32.45,ABC
33.08,ABC
31.96,ABC
32.17,ABC
31.96,ABC
31.83,ABC
32.45,ABC
32.38,ABC
32.1,ABC
33.15,ABC
32.45,ABC
32.31,ABC
32.73,ABC
32.52,ABC
32.66,ABC
32.66,ABC
32.87,ABC
33.15,ABC
33.22,ABC
32.45,ABC
32.66,ABC
32.45,ABC
32.38,ABC
32.52,ABC
32.24,ABC
32.52,ABC
32.8,ABC
32.73,ABC
32.73,ABC
32.59,ABC
33.08,ABC
32.8,ABC
33.01,ABC
32.8,ABC
32.73,ABC
32.59,ABC
32.31,ABC
32.45,ABC
32.38,ABC
32.45,ABC
32.38,ABC
32.52,ABC
32.31,ABC
32.31,ABC
32.17,ABC
32.45,ABC
32.52,ABC
32.52,ABC
32.73,ABC
32.24,ABC
32.66,ABC
32.73,ABC
33.15,ABC
33.08,ABC
33.01,ABC
32.38,ABC
32.38,ABC
32.38,ABC
32.59,ABC
32.17,ABC
31.9,ABC
32.31,ABC
32.87,ABC
32.52,ABC
31.96,ABC
32.59,ABC
32.45,ABC
32.31,ABC
32.24,ABC
32.31,ABC
32.66,ABC
32.03,ABC
32.45,ABC
32.52,ABC
32.59,ABC
32.73,ABC
32.45,ABC
32.59,ABC
32.59,ABC
32.59,ABC
32.8,ABC
32.73,ABC
32.94,ABC
33.44,ABC
33.8,ABC
34.67,ABC
34.01,ABC
32.59,ABC
32.24,ABC
31.9,ABC
32.1,ABC
32.38,ABC
32.52,ABC
32.17,ABC
32.24,ABC
31.96,ABC
32.31,ABC
32.38,ABC
32.59,ABC
32.31,ABC
32.31,ABC
32.24,ABC
32.59,ABC
31.9,ABC
32.1,ABC
32.17,ABC
33.01,ABC
