date, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/5/23, 61, , 32, 23, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/24, 70, , 15, 20, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/25, 52, , 15, 8, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/26, 23, , 15, 4, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/27, 19, , 8, 13, , 3,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/28, 27, , 10, 12, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/29, 33, , 15, 11, , 2,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/30, 26, , 21, 6, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/5/31, 32, , 17, 6, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/1, 30, , 25, 13, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/2, 45, , 26, 12, , 4,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/3, 47, , 18, 20, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/4, 50, , 17, 6, , 1,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/5, 16, , 15, 12, , 5,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/6, 44, , 23, 24, , 7,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/7, 70, , 31, 26, , 9,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/8, 83, , 35, 21, , 7,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/9, 75, , 34, 18, , 6,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/10, 71, , 28, 26, , 8,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/11, 60, , 39, 23, , 8,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/12, 79, , 31, 24, , 6,-23.701934820154197,-46.553310586836886,Sao Bernardo
2024/6/13, 73, , 32, 25, , 6,-23.701934820154197,-46.553310586836886,Sao Bernardo
