data, pm25, pm10, o3, no2, so2, co,latitude,longitude,regiao
2024/1/24, 25, , 23, 7, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/25, 23, , 19, 6, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/26, 15, , 20, 4, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/27, 25, 13, 30, 6, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/28, 38, 13, 24, 6, 1, 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/29, 33, , 35, 10, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/30, 33, 26, 48, 13, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/1/31, 58, 66, 32, 16, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/1, 68, 19, 37, 11, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/2, 49, 16, 23, 12, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/3, 32, 22, 31, 9, 1, 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/4, 38, 15, 27, 6, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/5, 29, 22, 52, 13, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/6, 45, 33, 40, 12, 1, 4,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/7, 67, 22, 33, 11, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/8, 50, 31, 37, 11, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/9, 56, 23, 32, 9, 1, 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/10, 48, 24, 34, 7, 1, 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/11, 45, 17, 26, 4, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/12, 37, 20, 28, 6, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/13, 33, 21, 37, 5, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/14, 39, 12, 25, 10, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/15, 25, 8, 17, 6, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/16, 17, 17, 24, 7, , 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/17, 37, 17, 33, 7, 1, 2,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/18, 40, 13, 24, 7, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/19, 33, 18, 34, 11, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
2024/2/20, 41, 16, 20, 9, , 3,-23.467295600325237,-46.53206211505543,Guarulhos
